I_still_say_I_Love_You,	B-Beauty/Joy
But_now_there's_no_reply.	I-Beauty/Joy
I_always_feel_your_presence	I-Beauty/Joy
As_if_you_never_left_my_side.	I-Beauty/Joy
.	O

If_you_see_my_dad_in_Heaven	I-Beauty/Joy
He_won't_be_hard_to_find.	I-Beauty/Joy
He'll_be_the_one_to_greet_you_first,	I-Beauty/Joy
For_he's_a_one-of-a-kind.	I-Beauty/Joy
.	O

From_the_day_that_I_first_knew_you,	I-Sadness
Your_heart_was_pure_and_kind;	I-Sadness
Your_smile_was_sweet_and_innocent,	I-Beauty/Joy
Your_wit_was_well_refined.	I-Beauty/Joy
.	O

I_will_rise	I-Sadness
After_every_fall.	I-Sadness
I_will_rise	I-Beauty/Joy
And_stand_tall.	I-Beauty/Joy
.	O

Life_can_seem_an_endless_maze,	I-Sadness
The_twists_and_turns,_lulls_and_delays,	I-Sadness
But_things_always_fall_into_place...	I-Beauty/Joy
In_good_time.	I-Beauty/Joy
.	O

